store_id,product_id,current_stock,last_restock_date
STR001,PRD001,34,2026-08-13
STR001,PRD002,29,2026-08-26
STR001,PRD003,13,2026-08-24
STR001,PRD004,29,2026-08-24
STR001,PRD005,21,2026-08-17
STR001,PRD006,6,2026-08-29
STR001,PRD007,50,2026-08-12
STR001,PRD008,31,2026-08-15
STR001,PRD009,180,2026-08-12
STR001,PRD010,23,2026-08-24
STR001,PRD011,15,2026-08-13
STR001,PRD012,49,2026-08-29
STR001,PRD013,35,2026-08-20
STR001,PRD014,43,2026-08-27
STR001,PRD015,20,2026-08-05
STR001,PRD016,46,2026-08-27
STR001,PRD017,33,2026-08-26
STR001,PRD018,23,2026-08-12
STR001,PRD019,39,2026-08-30
STR001,PRD020,45,2026-08-26
STR001,PRD021,32,2026-08-16
STR001,PRD022,15,2026-08-25
STR001,PRD023,44,2026-08-13
STR001,PRD024,25,2026-08-21
STR001,PRD025,22,2026-08-27
STR001,PRD026,28,2026-08-13
STR001,PRD027,44,2026-08-10
STR001,PRD028,29,2026-08-20
STR001,PRD029,17,2026-08-15
STR001,PRD030,14,2026-08-06
STR001,PRD031,26,2026-08-17
STR001,PRD032,50,2026-08-14
STR001,PRD033,40,2026-08-15
STR001,PRD034,35,2026-08-21
STR001,PRD035,36,2026-08-24
STR001,PRD036,29,2026-08-23
STR001,PRD037,55,2026-08-05
STR001,PRD038,35,2026-08-29
STR001,PRD039,46,2026-08-21
STR001,PRD040,22,2026-08-09
STR002,PRD001,39,2026-08-27
STR002,PRD002,31,2026-08-25
STR002,PRD003,25,2026-08-10
STR002,PRD004,18,2026-08-27
STR002,PRD005,39,2026-08-21
STR002,PRD006,12,2026-08-29
STR002,PRD007,24,2026-08-08
STR002,PRD008,40,2026-08-28
STR002,PRD009,56,2026-08-24
STR002,PRD010,38,2026-08-29
STR002,PRD011,46,2026-08-11
STR002,PRD012,52,2026-08-09
STR002,PRD013,41,2026-08-18
STR002,PRD014,17,2026-08-17
STR002,PRD015,50,2026-08-22
STR002,PRD016,37,2026-08-20
STR002,PRD017,30,2026-08-20
STR002,PRD018,28,2026-08-06
STR002,PRD019,51,2026-08-07
STR002,PRD020,44,2026-08-28
STR002,PRD021,13,2026-08-26
STR002,PRD022,38,2026-08-21
STR002,PRD023,42,2026-08-07
STR002,PRD024,24,2026-08-08
STR002,PRD025,46,2026-08-12
STR002,PRD026,54,2026-08-11
STR002,PRD027,32,2026-08-14
STR002,PRD028,43,2026-08-19
STR002,PRD029,36,2026-08-18
STR002,PRD030,28,2026-08-14
STR002,PRD031,27,2026-08-29
STR002,PRD032,21,2026-08-19
STR002,PRD033,23,2026-08-12
STR002,PRD034,32,2026-08-17
STR002,PRD035,37,2026-08-19
STR002,PRD036,50,2026-08-24
STR002,PRD037,43,2026-08-19
STR002,PRD038,62,2026-08-21
STR002,PRD039,24,2026-08-25
STR002,PRD040,43,2026-08-10
STR003,PRD001,20,2026-08-16
STR003,PRD002,22,2026-08-18
STR003,PRD003,35,2026-08-26
STR003,PRD004,32,2026-08-18
STR003,PRD005,40,2026-08-30
STR003,PRD006,12,2026-08-22
STR003,PRD007,44,2026-08-30
STR003,PRD008,55,2026-08-30
STR003,PRD009,37,2026-08-28
STR003,PRD010,35,2026-08-10
STR003,PRD011,37,2026-08-27
STR003,PRD012,39,2026-08-30
STR003,PRD013,54,2026-08-14
STR003,PRD014,39,2026-08-25
STR003,PRD015,31,2026-08-29
STR003,PRD016,47,2026-08-16
STR003,PRD017,26,2026-08-30
STR003,PRD018,17,2026-08-10
STR003,PRD019,46,2026-08-17
STR003,PRD020,59,2026-08-11
STR003,PRD021,16,2026-08-09
STR003,PRD022,32,2026-08-05
STR003,PRD023,17,2026-08-15
STR003,PRD024,28,2026-08-13
STR003,PRD025,26,2026-08-30
STR003,PRD026,50,2026-08-17
STR003,PRD027,25,2026-08-24
STR003,PRD028,42,2026-08-07
STR003,PRD029,16,2026-08-27
STR003,PRD030,32,2026-08-05
STR003,PRD031,23,2026-08-26
STR003,PRD032,34,2026-08-26
STR003,PRD033,52,2026-08-26
STR003,PRD034,22,2026-08-25
STR003,PRD035,44,2026-08-26
STR003,PRD036,43,2026-08-30
STR003,PRD037,54,2026-08-22
STR003,PRD038,60,2026-08-20
STR003,PRD039,24,2026-08-14
STR003,PRD040,27,2026-08-19
STR004,PRD001,34,2026-08-29
STR004,PRD002,13,2026-08-22
STR004,PRD003,15,2026-08-29
STR004,PRD004,44,2026-08-22
STR004,PRD005,45,2026-08-11
STR004,PRD006,12,2026-08-05
STR004,PRD007,27,2026-08-23
STR004,PRD008,48,2026-08-05
STR004,PRD009,41,2026-08-08
STR004,PRD010,24,2026-08-23
STR004,PRD011,42,2026-08-09
STR004,PRD012,26,2026-08-06
STR004,PRD013,50,2026-08-24
STR004,PRD014,33,2026-08-06
STR004,PRD015,43,2026-08-26
STR004,PRD016,25,2026-08-06
STR004,PRD017,53,2026-08-12
STR004,PRD018,25,2026-08-30
STR004,PRD019,47,2026-08-21
STR004,PRD020,32,2026-08-10
STR004,PRD021,36,2026-08-15
STR004,PRD022,50,2026-08-29
STR004,PRD023,40,2026-08-14
STR004,PRD024,35,2026-08-30
STR004,PRD025,25,2026-08-13
STR004,PRD026,21,2026-08-28
STR004,PRD027,16,2026-08-21
STR004,PRD028,16,2026-08-11
STR004,PRD029,27,2026-08-08
STR004,PRD030,31,2026-08-23
STR004,PRD031,32,2026-08-28
STR004,PRD032,41,2026-08-06
STR004,PRD033,25,2026-08-05
STR004,PRD034,43,2026-08-06
STR004,PRD035,15,2026-08-10
STR004,PRD036,41,2026-08-21
STR004,PRD037,50,2026-08-13
STR004,PRD038,56,2026-08-05
