movement_id,date,store_id,product_id,movement_type,quantity,reason
MOV_INIT_STR001_PRD001,2026-06-06,STR001,PRD001,OPENING,88,Opening Inventory Balance
MOV_SALE_20260609_STR001_PRD001,2026-06-09,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260613_STR001_PRD001,2026-06-13,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260615_STR001_PRD001,2026-06-15,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260618_STR001_PRD001,2026-06-18,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260626_STR001_PRD001,2026-06-26,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260705_STR001_PRD001,2026-07-05,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260710_STR001_PRD001,2026-07-10,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260711_STR001_PRD001,2026-07-11,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260713_STR001_PRD001,2026-07-13,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260714_STR001_PRD001,2026-07-14,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260715_STR001_PRD001,2026-07-15,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260716_STR001_PRD001,2026-07-16,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260717_STR001_PRD001,2026-07-17,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260721_STR001_PRD001,2026-07-21,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260723_STR001_PRD001,2026-07-23,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260726_STR001_PRD001,2026-07-26,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260728_STR001_PRD001,2026-07-28,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260730_STR001_PRD001,2026-07-30,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260801_STR001_PRD001,2026-08-01,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260803_STR001_PRD001,2026-08-03,STR001,PRD001,SALE,-1,Customer Sale Transaction
MOV_SALE_20260804_STR001_PRD001,2026-08-04,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260807_STR001_PRD001,2026-08-07,STR001,PRD001,SALE,-4,Customer Sale Transaction
MOV_SALE_20260808_STR001_PRD001,2026-08-08,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260809_STR001_PRD001,2026-08-09,STR001,PRD001,SALE,-4,Customer Sale Transaction
MOV_SALE_20260810_STR001_PRD001,2026-08-10,STR001,PRD001,SALE,-3,Customer Sale Transaction
MOV_SALE_20260811_STR001_PRD001,2026-08-11,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260812_STR001_PRD001,2026-08-12,STR001,PRD001,SALE,-3,Customer Sale Transaction
MOV_SALE_20260813_STR001_PRD001,2026-08-13,STR001,PRD001,SALE,-4,Customer Sale Transaction
MOV_SALE_20260814_STR001_PRD001,2026-08-14,STR001,PRD001,SALE,-4,Customer Sale Transaction
MOV_SALE_20260815_STR001_PRD001,2026-08-15,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260816_STR001_PRD001,2026-08-16,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260817_STR001_PRD001,2026-08-17,STR001,PRD001,SALE,-3,Customer Sale Transaction
MOV_SALE_20260818_STR001_PRD001,2026-08-18,STR001,PRD001,SALE,-2,Customer Sale Transaction
MOV_SALE_20260819_STR001_PRD001,2026-08-19,STR001,PRD001,SALE,-2,Customer Sale Transaction
