sale_id,date,store_id,product_id,quantity,unit_price,total_revenue
SAL_20160101_STR001_PRD005,2016-01-01,STR001,PRD005,4,280.0,1120.0
SAL_20160101_STR001_PRD006,2016-01-01,STR001,PRD006,2,35.0,70.0
SAL_20160102_STR001_PRD002,2016-01-02,STR001,PRD002,1,950.0,950.0
SAL_20160102_STR001_PRD008,2016-01-02,STR001,PRD008,1,45.0,45.0
SAL_20160103_STR001_PRD001,2016-01-03,STR001,PRD001,2,1200.0,2400.0
SAL_20160103_STR001_PRD040,2016-01-03,STR001,PRD040,2,19.0,38.0
SAL_20160105_STR001_PRD002,2016-01-05,STR001,PRD002,3,950.0,2850.0
SAL_20160106_STR001_PRD003,2016-01-06,STR001,PRD003,2,1600.0,3200.0
SAL_20160106_STR001_PRD005,2016-01-06,STR001,PRD005,5,280.0,1400.0
SAL_20160107_STR001_PRD040,2016-01-07,STR001,PRD040,1,19.0,19.0
SAL_20160109_STR001_PRD002,2016-01-09,STR001,PRD002,3,950.0,2850.0
SAL_20160109_STR001_PRD008,2016-01-09,STR001,PRD008,6,45.0,270.0
SAL_20160111_STR001_PRD001,2016-01-11,STR001,PRD001,2,1200.0,2400.0
SAL_20160111_STR001_PRD010,2016-01-11,STR001,PRD010,6,60.0,360.0
SAL_20160112_STR001_PRD001,2016-01-12,STR001,PRD001,3,1200.0,3600.0
SAL_20160114_STR001_PRD002,2016-01-14,STR001,PRD002,3,950.0,2850.0
SAL_20160114_STR001_PRD003,2016-01-14,STR001,PRD003,1,1600.0,1600.0
SAL_20160114_STR001_PRD006,2016-01-14,STR001,PRD006,2,35.0,70.0
SAL_20160115_STR001_PRD005,2016-01-15,STR001,PRD005,6,280.0,1680.0
SAL_20160116_STR001_PRD001,2016-01-16,STR001,PRD001,2,1200.0,2400.0
SAL_20160116_STR001_PRD004,2016-01-16,STR001,PRD004,1,2000.0,2000.0
SAL_20160117_STR001_PRD003,2016-01-17,STR001,PRD003,3,1600.0,4800.0
SAL_20160118_STR001_PRD001,2016-01-18,STR001,PRD001,2,1200.0,2400.0
SAL_20160118_STR001_PRD002,2016-01-18,STR001,PRD002,2,950.0,1900.0
SAL_20160119_STR001_PRD006,2016-01-19,STR001,PRD006,5,35.0,175.0
SAL_20160119_STR001_PRD040,2016-01-19,STR001,PRD040,2,19.0,38.0
SAL_20160120_STR001_PRD001,2016-01-20,STR001,PRD001,1,1200.0,1200.0
SAL_20160121_STR001_PRD010,2016-01-21,STR001,PRD010,4,60.0,240.0
SAL_20160122_STR001_PRD002,2016-01-22,STR001,PRD002,3,950.0,2850.0
SAL_20160123_STR001_PRD004,2016-01-23,STR001,PRD004,3,2000.0,6000.0
SAL_20160123_STR001_PRD010,2016-01-23,STR001,PRD010,5,60.0,300.0
SAL_20160124_STR001_PRD009,2016-01-24,STR001,PRD009,6,15.0,90.0
SAL_20160125_STR001_PRD001,2016-01-25,STR001,PRD001,1,1200.0,1200.0
SAL_20160125_STR001_PRD007,2016-01-25,STR001,PRD007,1,85.0,85.0
SAL_20160125_STR001_PRD040,2016-01-25,STR001,PRD040,3,19.0,57.0
SAL_20160127_STR001_PRD040,2016-01-27,STR001,PRD040,6,19.0,114.0
SAL_20160128_STR001_PRD010,2016-01-28,STR001,PRD010,4,60.0,240.0
SAL_20160129_STR001_PRD006,2016-01-29,STR001,PRD006,2,35.0,70.0
SAL_20160129_STR001_PRD009,2016-01-29,STR001,PRD009,3,15.0,45.0
SAL_20160130_STR001_PRD004,2016-01-30,STR001,PRD004,2,2000.0,4000.0
SAL_20160130_STR001_PRD008,2016-01-30,STR001,PRD008,4,45.0,180.0
